sample,twist_mid_deg,twist_tip_deg,alpha_deg,CL,CD,LD,feasible
129,-3.3980477864001535,-1.0559239288608522,4.522989326416184,0.24558485415330802,0.012027830355450934,20.418051044593472,True
130,-2.3454829553596483,-0.05609608391675547,3.1482348400006157,0.18387733951334748,0.01091167046606557,16.851438107958945,True
131,-3.907443854604218,0.899384865705569,1.290913640763165,0.015940968831247734,0.009634165509043106,,False
132,-3.753015980447853,-2.364767951267204,3.2108290383640288,0.11038411816490083,0.010218412219391616,10.8024726146224,True
133,-2.2576925650827153,-0.5650963695721245,2.961631162089689,0.162356973639314,0.010620787398006114,15.286717223036964,True
134,-3.8312517614172608,-5.255529420549806,2.4800593068432484,-0.0011864743490729189,0.010198539646500606,,False
135,-3.11516800097231,-2.814195421893203,4.803262068406781,0.24279824596041966,0.012111613707789718,20.04672967766973,True
136,-4.324256781274856,-5.399955236523712,1.6466863052778693,-0.0815776320400476,0.01052054123861959,,False
137,-1.1860050006223517,1.495477963650794,4.022059332022067,0.3100445294222254,0.013427357113686577,23.09051042562913,True
138,-4.401159980128178,-0.7620414029020584,2.817139562496667,0.0920373385244684,0.009986719302968383,9.21597330738152,True
139,-5.631070717627689,-1.3599102113606447,1.9417872354573822,-0.018958491897642316,0.009760157537245451,,False
140,-3.1862507615730995,1.3981918644752653,4.459891403317426,0.29065287129988565,0.012990213648218958,22.374756810850144,True
141,-1.1220663166805762,-2.7802962588823874,2.4439703637828116,0.1111158505080692,0.010196706323910504,10.897229652236913,True
142,-5.129542112825096,-1.9924704421461534,2.8788553611969347,0.05563345727330191,0.009886760539320028,,False
143,-5.3920385541456675,-1.1463897715086127,4.0445578320179125,0.15510555558314737,0.01067537783306555,14.52928018179635,True
144,-1.2679248313591458,-7.441899010932769,1.9991969740090587,-0.012077650275468785,0.010683430258726355,,False
145,-1.6480712844287622,-6.206246183965282,1.0099093801961403,-0.07664681027157372,0.010576565239049474,,False
146,-1.4298075251331541,-3.03150059222882,2.0429773780047613,0.0672991819948975,0.009919494324593584,,False
147,-4.486208519697644,-7.836731054596758,2.836139170182622,-0.03723614927434369,0.010985969879072844,,False
148,-5.810830350052712,1.6145047651359352,4.000395904302026,0.19095486133089049,0.011193808038820913,17.058972305818145,True
149,-1.9444617442390832,-5.002725015749565,2.3076738206014493,0.038792403199836394,0.010136155709282247,,False
150,-5.441694022063206,-1.44420728556834,3.4058084342979877,0.09861802422246804,0.010125390786013627,9.739675861073014,True
151,1.673074886143099,-4.55458605029121,4.956329335422394,0.3468553083417609,0.014792329180785622,23.448322715283126,True
152,-1.7992010871821682,0.3770719678770753,4.784318381033172,0.3332158038201896,0.013997188652153842,23.80590932229205,True
153,0.5745436663156882,-7.228620657497932,4.937097394906699,0.2684268550615471,0.013478607328246383,19.915028943607517,True
154,-4.077840978142324,-2.615067131625736,2.288439655683849,0.025474843931087388,0.009799501936629127,,False
155,-2.1879910377835627,-2.482461657762266,3.2211881118060894,0.1495543713424082,0.010585475182265124,14.128262431994663,True
156,0.23406244040319724,-1.3254176369223476,4.8319193121851844,0.35858089441263086,0.014732286989379492,24.339798340280222,True
157,-1.898966749179305,0.49403912369011316,3.897318107802545,0.26375966933274314,0.012334178338547264,21.384454001968734,True
158,-3.0111230218312506,-4.915235230188042,4.571441935726373,0.18927340535341727,0.011523609105135356,16.42483736011749,True
159,-0.9044395018814653,-1.1817314558709135,1.1717637820682887,0.04654991973203025,0.009655981818467121,,False
160,-5.056351324377148,-1.9108814263348481,2.84823387503182,0.056622238318781784,0.009880131122365968,,False
