iter,wall_time_s,mass_kg,global_max_fi,global_mean_fi,n_mystran_fail,zone0_max_fi,zone1_max_fi,zone2_max_fi,zone3_max_fi,zone4_max_fi,zone5_max_fi,zone6_max_fi,zone7_max_fi,zone0_thickness_scale,zone1_thickness_scale,zone2_thickness_scale,zone3_thickness_scale,zone4_thickness_scale,zone5_thickness_scale,zone6_thickness_scale,zone7_thickness_scale,zone0_ply_0,zone0_ply_45,zone0_ply_-45,zone0_ply_90,zone1_ply_0,zone1_ply_45,zone1_ply_-45,zone1_ply_90,zone2_ply_0,zone2_ply_45,zone2_ply_-45,zone2_ply_90,zone3_ply_0,zone3_ply_45,zone3_ply_-45,zone3_ply_90,zone4_ply_0,zone4_ply_45,zone4_ply_-45,zone4_ply_90,zone5_ply_0,zone5_ply_45,zone5_ply_-45,zone5_ply_90,zone6_ply_0,zone6_ply_45,zone6_ply_-45,zone6_ply_90,zone7_ply_0,zone7_ply_45,zone7_ply_-45,zone7_ply_90,zone0_total_plies,zone1_total_plies,zone2_total_plies,zone3_total_plies,zone4_total_plies,zone5_total_plies,zone6_total_plies,zone7_total_plies
28,1.5358741283416748,9.600955186037785,0.8000369671764482,0.28054716319110795,0,0.799994574516339,0.799997051671919,0.8000066583554212,0.7999733373830703,0.7999897663109119,0.7999880096054058,0.799991719757977,0.8000369671764482,0.742965972156058,0.5310741270703982,0.31388757913144766,0.32433380962118286,0.5309259025406508,0.7140218073880981,0.7300141531770634,1.127761180890393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
29,1.4173121452331543,9.60094039735116,0.8000407176197858,0.28055082440880474,0,0.8000178385164947,0.8000042611106039,0.8000091138670565,0.7999997306700822,0.799994855429371,0.8000045035088265,0.8000090388065871,0.8000407176197858,0.7429634528124689,0.531073148457422,0.31388888536586274,0.3243284048786058,0.5309225067090161,0.7140164565110859,0.7300103752433955,1.1277872372319961,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
30,1.458688735961914,9.601007911008804,0.8000369671764482,0.28054782460454053,0,0.8000058690365766,0.8000028703887458,0.799981057438426,0.799994760036321,0.7999924138819752,0.7999975704576634,0.7999934439341395,0.8000369671764482,0.7429717361660987,0.5310745628083122,0.313890673329345,0.3243283502840167,0.5309207996038071,0.7140184662482196,0.7300144992575133,1.1278159377394492,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
31,1.4887495040893555,9.601021861828011,0.8000309584654448,0.2805457316471493,0,0.7999821277268686,0.7999960851140206,0.8000118599006742,0.8000282404211788,0.8000309584654448,0.8000080647604375,0.8000010984356821,0.7998849778277538,0.742974461496283,0.5310755155523424,0.3138869571459656,0.32432728811603195,0.5309182823364023,0.7140173820369116,0.7300115079930531,1.1278419953461813,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
32,1.4301259517669678,9.600959425772635,0.8000369671764482,0.2805466345538047,0,0.7999941575000875,0.7999950206738446,0.8000061109236516,0.7999725362748797,0.7999752743473996,0.7999897557784889,0.799991719757977,0.8000369671764482,0.7429661623447171,0.5310742161147862,0.31388928381354975,0.32433301257804203,0.5309285550959633,0.7140209810238705,0.7300120091622335,1.1277609160735218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
33,1.4811100959777832,9.60093345401458,0.8000388269204618,0.2805490474869941,0,0.8000177398083855,0.8000020343384275,0.799981057438426,0.799994760036321,0.7999929831841118,0.8000036347176512,0.8000064131091945,0.8000388269204618,0.7429634493573806,0.531072563369952,0.313890482659455,0.3243274454576015,0.5309203503740826,0.7140164094056871,0.7300082312396613,1.1277869724090066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
34,1.466081142425537,9.600977729148225,0.8000388269204618,0.28055082539311654,0,0.8000058085836816,0.8000079835883729,0.8000106153433553,0.7999978274158479,0.8000074752647457,0.8000027573266368,0.8000072951124837,0.8000388269204618,0.7429716868756487,0.5310732386082792,0.31388676647833297,0.32432638329258007,0.530918022017614,0.7140180314357162,0.7300111572537238,1.1278143402184289,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
35,1.4207563400268555,9.6010352948704,0.8000297056048855,0.28054452417465975,0,0.7999824460406076,0.7999926272334817,0.8000085664329394,0.8000297056048855,0.8000132493114059,0.8000002500168383,0.7999993742621987,0.7998849778277538,0.7429743841339089,0.5310758885271122,0.3138888489882085,0.3243259429011048,0.530920502488097,0.7140192619238018,0.7300144856996653,1.127841708691981,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
36,1.433696985244751,9.600951201074084,0.8000350764798012,0.280547153562001,0,0.7999942562016876,0.8000008230703867,0.799981057438426,0.799994760036321,0.7999897663109119,0.7999880096054058,0.7999926017571506,0.8000350764798012,0.7429662327950535,0.5310734413405312,0.31389052955556807,0.32433196433755096,0.5309248989450153,0.7140193734968258,0.7300142002011283,1.1277606294399287,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
37,1.4846820831298828,9.600935654700566,0.8000407176197858,0.28055082440880474,0,0.8000178385164947,0.8000042611106039,0.8000091138670565,0.7999997306700822,0.799994855429371,0.8000045035088265,0.8000090388065871,0.8000407176197858,0.7429635656399322,0.5310737145347955,0.3138868133738908,0.3243309021577303,0.5309215031197997,0.7140140226380531,0.7300108246871679,1.1277853531105155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
